Date;DAS;Treatment;Variety;Id;Plant;Event;nb_Leaves;nb_tillers
24/08/2020;18;C;V1;2;C_V1_2;NA;5.6;5
24/08/2020;18;C;V1;3;C_V1_3;NA;5.7;5
24/08/2020;18;C;V1;4;C_V1_4;NA;5;2
24/08/2020;18;C;V1;7;C_V1_7;NA;5.4;4
24/08/2020;18;C;V1;8;C_V1_8;NA;5.3;3
24/08/2020;18;C;V1;9;C_V1_9;NA;5.6;4
24/08/2020;18;C;V2;2;C_V2_2;NA;5.3;7
24/08/2020;18;C;V2;3;C_V2_3;NA;5.4;9
24/08/2020;18;C;V2;4;C_V2_4;NA;5;8
24/08/2020;18;C;V2;7;C_V2_7;NA;5.8;8
24/08/2020;18;C;V2;8;C_V2_8;NA;5.4;8
24/08/2020;18;C;V2;9;C_V2_9;NA;5.3;8
24/08/2020;18;C;V3;2;C_V3_2;NA;5.7;5
24/08/2020;18;C;V3;3;C_V3_3;NA;5.7;6
24/08/2020;18;C;V3;4;C_V3_4;NA;5.5;5
24/08/2020;18;C;V3;7;C_V3_7;NA;6.3;7
24/08/2020;18;C;V3;8;C_V3_8;NA;6;5
24/08/2020;18;C;V3;9;C_V3_9;NA;6.4;9
24/08/2020;18;C;V4;2;C_V4_2;NA;6.1;4
24/08/2020;18;C;V4;3;C_V4_3;NA;6.3;5
24/08/2020;18;C;V4;4;C_V4_4;NA;6.2;5
24/08/2020;18;C;V4;7;C_V4_7;NA;6.3;5
24/08/2020;18;C;V4;8;C_V4_8;NA;6.2;4
24/08/2020;18;C;V4;9;C_V4_9;NA;6.2;5
24/08/2020;18;C;V5;2;C_V5_2;NA;5;3
24/08/2020;18;C;V5;3;C_V5_3;NA;5;4
24/08/2020;18;C;V5;4;C_V5_4;NA;5;4
24/08/2020;18;C;V5;7;C_V5_7;NA;4.9;5
24/08/2020;18;C;V5;8;C_V5_8;NA;4.8;3
24/08/2020;18;C;V5;9;C_V5_9;NA;5;4
24/08/2020;18;C;V6;2;C_V6_2;NA;4.3;2
24/08/2020;18;C;V6;3;C_V6_3;NA;5;4
24/08/2020;18;C;V6;4;C_V6_4;NA;4.8;4
24/08/2020;18;C;V6;7;C_V6_7;NA;5;3
24/08/2020;18;C;V6;8;C_V6_8;NA;4.7;3
24/08/2020;18;C;V6;9;C_V6_9;NA;4.6;3
24/08/2020;18;C;V7;2;C_V7_2;NA;5;3
24/08/2020;18;C;V7;3;C_V7_3;NA;5;4
24/08/2020;18;C;V7;4;C_V7_4;NA;5;3
24/08/2020;18;C;V7;7;C_V7_7;NA;4.6;3
24/08/2020;18;C;V7;8;C_V7_8;NA;5.2;4
24/08/2020;18;C;V7;9;C_V7_9;NA;5;3
24/08/2020;18;C;V8;2;C_V8_2;NA;5.4;5
24/08/2020;18;C;V8;3;C_V8_3;NA;5.7;8
24/08/2020;18;C;V8;4;C_V8_4;NA;5.7;6
24/08/2020;18;C;V8;7;C_V8_7;NA;5.5;7
24/08/2020;18;C;V8;8;C_V8_8;NA;5.4;6
24/08/2020;18;C;V8;9;C_V8_9;NA;5.6;7
24/08/2020;18;S-AF;V1;2;D_V1_2;NA;4;1
24/08/2020;18;S-AF;V1;3;D_V1_3;NA;4.4;1
24/08/2020;18;S-AF;V1;4;D_V1_4;NA;4.2;1
24/08/2020;18;S-AF;V1;7;D_V1_7;NA;4.3;2
24/08/2020;18;S-AF;V1;8;D_V1_8;NA;4.3;1
24/08/2020;18;S-AF;V1;9;D_V1_9;NA;4.3;1
24/08/2020;18;S-AF;V2;2;D_V2_2;NA;4.5;2
24/08/2020;18;S-AF;V2;3;D_V2_3;NA;4.3;2
24/08/2020;18;S-AF;V2;4;D_V2_4;NA;4.5;2
24/08/2020;18;S-AF;V2;7;D_V2_7;NA;4.4;2
24/08/2020;18;S-AF;V2;8;D_V2_8;NA;4.4;2
24/08/2020;18;S-AF;V2;9;D_V2_9;NA;4.6;3
24/08/2020;18;S-AF;V3;2;D_V3_2;NA;5.1;2
24/08/2020;18;S-AF;V3;3;D_V3_3;NA;5;2
24/08/2020;18;S-AF;V3;4;D_V3_4;NA;5.1;2
24/08/2020;18;S-AF;V3;7;D_V3_7;NA;5.1;2
24/08/2020;18;S-AF;V3;8;D_V3_8;NA;5;2
24/08/2020;18;S-AF;V3;9;D_V3_9;NA;5.2;4
24/08/2020;18;S-AF;V4;2;D_V4_2;NA;5.3;2
24/08/2020;18;S-AF;V4;3;D_V4_3;NA;5.2;1
24/08/2020;18;S-AF;V4;4;D_V4_4;NA;5;1
24/08/2020;18;S-AF;V4;7;D_V4_7;NA;5.2;2
24/08/2020;18;S-AF;V4;8;D_V4_8;NA;5.1;1
24/08/2020;18;S-AF;V4;9;D_V4_9;NA;5.1;1
24/08/2020;18;S-AF;V5;2;D_V5_2;NA;4.1;1
24/08/2020;18;S-AF;V5;3;D_V5_3;NA;4;1
24/08/2020;18;S-AF;V5;4;D_V5_4;NA;3.8;1
24/08/2020;18;S-AF;V5;7;D_V5_7;NA;4.2;1
24/08/2020;18;S-AF;V5;8;D_V5_8;NA;4;1
24/08/2020;18;S-AF;V5;9;D_V5_9;NA;4;1
24/08/2020;18;S-AF;V6;2;D_V6_2;NA;3.8;1
24/08/2020;18;S-AF;V6;3;D_V6_3;NA;3.7;1
24/08/2020;18;S-AF;V6;4;D_V6_4;NA;3.6;1
24/08/2020;18;S-AF;V6;7;D_V6_7;NA;3.9;1
24/08/2020;18;S-AF;V6;8;D_V6_8;NA;3.4;1
24/08/2020;18;S-AF;V6;9;D_V6_9;NA;3.4;1
24/08/2020;18;S-AF;V7;2;D_V7_2;NA;4;1
24/08/2020;18;S-AF;V7;3;D_V7_3;NA;4.2;1
24/08/2020;18;S-AF;V7;4;D_V7_4;NA;4;1
24/08/2020;18;S-AF;V7;7;D_V7_7;NA;4.3;1
24/08/2020;18;S-AF;V7;8;D_V7_8;NA;4;1
24/08/2020;18;S-AF;V7;9;D_V7_9;NA;4.1;1
24/08/2020;18;S-AF;V8;2;D_V8_2;NA;4.5;2
24/08/2020;18;S-AF;V8;3;D_V8_3;NA;4.8;2
24/08/2020;18;S-AF;V8;4;D_V8_4;NA;4.9;3
24/08/2020;18;S-AF;V8;7;D_V8_7;NA;4.9;3
24/08/2020;18;S-AF;V8;8;D_V8_8;NA;5;2
24/08/2020;18;S-AF;V8;9;D_V8_9;NA;4.6;2
24/08/2020;18;S;V1;2;L_V1_2;NA;4;1
24/08/2020;18;S;V1;3;L_V1_3;NA;3.7;1
24/08/2020;18;S;V1;4;L_V1_4;NA;3.4;0
24/08/2020;18;S;V1;7;L_V1_7;NA;3.7;1
24/08/2020;18;S;V1;8;L_V1_8;NA;3.8;1
24/08/2020;18;S;V1;9;L_V1_9;NA;3.7;1
24/08/2020;18;S;V2;2;L_V2_2;NA;4.3;2
24/08/2020;18;S;V2;3;L_V2_3;NA;4.3;2
24/08/2020;18;S;V2;4;L_V2_4;NA;4.2;2
24/08/2020;18;S;V2;7;L_V2_7;NA;4.2;1
24/08/2020;18;S;V2;8;L_V2_8;NA;4.2;1
24/08/2020;18;S;V2;9;L_V2_9;NA;4.2;2
24/08/2020;18;S;V3;2;L_V3_2;NA;4.2;2
24/08/2020;18;S;V3;3;L_V3_3;NA;4.6;2
24/08/2020;18;S;V3;4;L_V3_4;NA;4.3;2
24/08/2020;18;S;V3;7;L_V3_7;NA;4.7;2
24/08/2020;18;S;V3;8;L_V3_8;NA;4.4;2
24/08/2020;18;S;V3;9;L_V3_9;NA;4.7;2
24/08/2020;18;S;V4;2;L_V4_2;NA;4.7;1
24/08/2020;18;S;V4;3;L_V4_3;NA;4.9;1
24/08/2020;18;S;V4;4;L_V4_4;NA;4.8;1
24/08/2020;18;S;V4;7;L_V4_7;NA;4.7;1
24/08/2020;18;S;V4;8;L_V4_8;NA;4.9;1
24/08/2020;18;S;V4;9;L_V4_9;NA;4.6;1
24/08/2020;18;S;V5;2;L_V5_2;NA;4;1
24/08/2020;18;S;V5;3;L_V5_3;NA;4.2;1
24/08/2020;18;S;V5;4;L_V5_4;NA;4;1
24/08/2020;18;S;V5;7;L_V5_7;NA;3.8;1
24/08/2020;18;S;V5;8;L_V5_8;NA;4;1
24/08/2020;18;S;V5;9;L_V5_9;NA;4.1;1
24/08/2020;18;S;V6;2;L_V6_2;NA;3.9;1
24/08/2020;18;S;V6;3;L_V6_3;NA;3.4;0
24/08/2020;18;S;V6;4;L_V6_4;NA;3.6;1
24/08/2020;18;S;V6;7;L_V6_7;NA;3.7;1
24/08/2020;18;S;V6;8;L_V6_8;NA;3.5;1
24/08/2020;18;S;V6;9;L_V6_9;NA;3.4;1
24/08/2020;18;S;V7;2;L_V7_2;NA;4;1
24/08/2020;18;S;V7;3;L_V7_3;NA;4;1
24/08/2020;18;S;V7;4;L_V7_4;NA;3.9;1
24/08/2020;18;S;V7;7;L_V7_7;NA;3.9;1
24/08/2020;18;S;V7;8;L_V7_8;NA;4;1
24/08/2020;18;S;V7;9;L_V7_9;NA;3.8;1
24/08/2020;18;S;V8;2;L_V8_2;NA;4.6;2
24/08/2020;18;S;V8;3;L_V8_3;NA;4.3;1
24/08/2020;18;S;V8;4;L_V8_4;NA;4.7;2
24/08/2020;18;S;V8;7;L_V8_7;NA;4.5;2
24/08/2020;18;S;V8;8;L_V8_8;NA;4.5;2
24/08/2020;18;S;V8;9;L_V8_9;NA;4.4;1
31/08/2020;25;C;V1;2;C_V1_2;NA;7.5;11
31/08/2020;25;C;V1;3;C_V1_3;NA;7.7;16
31/08/2020;25;C;V1;4;C_V1_4;NA;7.1;9
31/08/2020;25;C;V1;7;C_V1_7;NA;7.3;11
31/08/2020;25;C;V1;8;C_V1_8;NA;7.3;8
31/08/2020;25;C;V1;9;C_V1_9;NA;7.5;10
31/08/2020;25;C;V2;2;C_V2_2;NA;7;16
31/08/2020;25;C;V2;3;C_V2_3;NA;7;18
31/08/2020;25;C;V2;4;C_V2_4;NA;6.8;18
31/08/2020;25;C;V2;7;C_V2_7;NA;7.6;17
31/08/2020;25;C;V2;8;C_V2_8;NA;7.1;16
31/08/2020;25;C;V2;9;C_V2_9;NA;7;18
31/08/2020;25;C;V3;2;C_V3_2;NA;7.6;17
31/08/2020;25;C;V3;3;C_V3_3;NA;7.9;20
31/08/2020;25;C;V3;4;C_V3_4;NA;7.5;16
31/08/2020;25;C;V3;7;C_V3_7;NA;8.3;21
31/08/2020;25;C;V3;8;C_V3_8;NA;8;16
31/08/2020;25;C;V3;9;C_V3_9;NA;7.5;21
31/08/2020;25;C;V4;2;C_V4_2;NA;8.1;11
31/08/2020;25;C;V4;3;C_V4_3;NA;7.9;12
31/08/2020;25;C;V4;4;C_V4_4;NA;8.1;13
31/08/2020;25;C;V4;7;C_V4_7;NA;8.3;14
31/08/2020;25;C;V4;8;C_V4_8;NA;7.8;13
31/08/2020;25;C;V4;9;C_V4_9;NA;8.2;11
31/08/2020;25;C;V5;2;C_V5_2;NA;6.6;6
31/08/2020;25;C;V5;3;C_V5_3;NA;6.8;12
31/08/2020;25;C;V5;4;C_V5_4;NA;6.8;10
31/08/2020;25;C;V5;7;C_V5_7;NA;6.7;11
31/08/2020;25;C;V5;8;C_V5_8;NA;6.4;10
31/08/2020;25;C;V5;9;C_V5_9;NA;6.6;11
31/08/2020;25;C;V6;2;C_V6_2;NA;7.1;7
31/08/2020;25;C;V6;3;C_V6_3;NA;6.8;11
31/08/2020;25;C;V6;4;C_V6_4;NA;6.5;11
31/08/2020;25;C;V6;7;C_V6_7;NA;7;9
31/08/2020;25;C;V6;8;C_V6_8;NA;6.6;10
31/08/2020;25;C;V6;9;C_V6_9;NA;6.5;7
31/08/2020;25;C;V7;2;C_V7_2;NA;6.6;8
31/08/2020;25;C;V7;3;C_V7_3;NA;6.9;8
31/08/2020;25;C;V7;4;C_V7_4;NA;6.6;6
31/08/2020;25;C;V7;7;C_V7_7;NA;6.5;6
31/08/2020;25;C;V7;8;C_V7_8;NA;6.9;9
31/08/2020;25;C;V7;9;C_V7_9;NA;6.6;7
31/08/2020;25;C;V8;2;C_V8_2;NA;7.3;11
31/08/2020;25;C;V8;3;C_V8_3;NA;7.5;18
31/08/2020;25;C;V8;4;C_V8_4;NA;7.5;13
31/08/2020;25;C;V8;7;C_V8_7;NA;7.3;15
31/08/2020;25;C;V8;8;C_V8_8;NA;7.1;13
31/08/2020;25;C;V8;9;C_V8_9;NA;7.4;16
31/08/2020;25;S-AF;V1;2;D_V1_2;NA;6.3;4
31/08/2020;25;S-AF;V1;3;D_V1_3;NA;5.5;5
31/08/2020;25;S-AF;V1;4;D_V1_4;NA;6.2;3
31/08/2020;25;S-AF;V1;7;D_V1_7;NA;6.3;4
31/08/2020;25;S-AF;V1;8;D_V1_8;NA;6.4;5
31/08/2020;25;S-AF;V1;9;D_V1_9;NA;6.3;4
31/08/2020;25;S-AF;V2;2;D_V2_2;NA;6.3;6
31/08/2020;25;S-AF;V2;3;D_V2_3;NA;6.2;7
31/08/2020;25;S-AF;V2;4;D_V2_4;NA;6.3;6
31/08/2020;25;S-AF;V2;7;D_V2_7;NA;6.3;5
31/08/2020;25;S-AF;V2;8;D_V2_8;NA;6.3;6
31/08/2020;25;S-AF;V2;9;D_V2_9;NA;6.3;6
31/08/2020;25;S-AF;V3;2;D_V3_2;NA;7.2;8
31/08/2020;25;S-AF;V3;3;D_V3_3;NA;7;8
31/08/2020;25;S-AF;V3;4;D_V3_4;NA;7.3;8
31/08/2020;25;S-AF;V3;7;D_V3_7;NA;7.1;9
31/08/2020;25;S-AF;V3;8;D_V3_8;NA;6.7;8
31/08/2020;25;S-AF;V3;9;D_V3_9;NA;7.3;13
31/08/2020;25;S-AF;V4;2;D_V4_2;NA;7.4;4
31/08/2020;25;S-AF;V4;3;D_V4_3;NA;7.3;4
31/08/2020;25;S-AF;V4;4;D_V4_4;NA;7.1;3
31/08/2020;25;S-AF;V4;7;D_V4_7;NA;7.2;6
31/08/2020;25;S-AF;V4;8;D_V4_8;NA;7.3;4
31/08/2020;25;S-AF;V4;9;D_V4_9;NA;7.3;4
31/08/2020;25;S-AF;V5;2;D_V5_2;NA;5.9;4
31/08/2020;25;S-AF;V5;3;D_V5_3;NA;5.8;4
31/08/2020;25;S-AF;V5;4;D_V5_4;NA;5.6;5
31/08/2020;25;S-AF;V5;7;D_V5_7;NA;6;5
31/08/2020;25;S-AF;V5;8;D_V5_8;NA;6;5
31/08/2020;25;S-AF;V5;9;D_V5_9;NA;5.6;5
31/08/2020;25;S-AF;V6;2;D_V6_2;NA;5.6;3
31/08/2020;25;S-AF;V6;3;D_V6_3;NA;5.4;4
31/08/2020;25;S-AF;V6;4;D_V6_4;NA;5.3;2
31/08/2020;25;S-AF;V6;7;D_V6_7;NA;5.7;4
31/08/2020;25;S-AF;V6;8;D_V6_8;NA;5.2;2
31/08/2020;25;S-AF;V6;9;D_V6_9;NA;5.3;2
31/08/2020;25;S-AF;V7;2;D_V7_2;NA;5.9;3
31/08/2020;25;S-AF;V7;3;D_V7_3;NA;6.1;4
31/08/2020;25;S-AF;V7;4;D_V7_4;NA;6;3
31/08/2020;25;S-AF;V7;7;D_V7_7;NA;6.2;4
31/08/2020;25;S-AF;V7;8;D_V7_8;NA;5.8;5
31/08/2020;25;S-AF;V7;9;D_V7_9;NA;6.1;5
31/08/2020;25;S-AF;V8;2;D_V8_2;NA;6.5;6
31/08/2020;25;S-AF;V8;3;D_V8_3;NA;6.8;7
31/08/2020;25;S-AF;V8;4;D_V8_4;NA;6.9;9
31/08/2020;25;S-AF;V8;7;D_V8_7;NA;6.9;8
31/08/2020;25;S-AF;V8;8;D_V8_8;NA;6.8;7
31/08/2020;25;S-AF;V8;9;D_V8_9;NA;6.5;5
31/08/2020;25;S;V1;2;L_V1_2;NA;5.9;3
31/08/2020;25;S;V1;3;L_V1_3;NA;5.6;3
31/08/2020;25;S;V1;4;L_V1_4;NA;5.4;3
31/08/2020;25;S;V1;7;L_V1_7;NA;5.9;3
31/08/2020;25;S;V1;8;L_V1_8;NA;6;3
31/08/2020;25;S;V1;9;L_V1_9;NA;6;3
31/08/2020;25;S;V2;2;L_V2_2;NA;6.1;6
31/08/2020;25;S;V2;3;L_V2_3;NA;6.1;5
31/08/2020;25;S;V2;4;L_V2_4;NA;6;5
31/08/2020;25;S;V2;7;L_V2_7;NA;6;5
31/08/2020;25;S;V2;8;L_V2_8;NA;6;5
31/08/2020;25;S;V2;9;L_V2_9;NA;6;4
31/08/2020;25;S;V3;2;L_V3_2;NA;6.2;6
31/08/2020;25;S;V3;3;L_V3_3;NA;6.4;9
31/08/2020;25;S;V3;4;L_V3_4;NA;6.4;7
31/08/2020;25;S;V3;7;L_V3_7;NA;6.5;9
31/08/2020;25;S;V3;8;L_V3_8;NA;6.4;9
31/08/2020;25;S;V3;9;L_V3_9;NA;6.7;8
31/08/2020;25;S;V4;2;L_V4_2;NA;6.7;3
31/08/2020;25;S;V4;3;L_V4_3;NA;6.9;4
31/08/2020;25;S;V4;4;L_V4_4;NA;6.9;3
31/08/2020;25;S;V4;7;L_V4_7;NA;6.7;3
31/08/2020;25;S;V4;8;L_V4_8;NA;6.9;3
31/08/2020;25;S;V4;9;L_V4_9;NA;6.7;3
31/08/2020;25;S;V5;2;L_V5_2;NA;5.6;5
31/08/2020;25;S;V5;3;L_V5_3;NA;6;6
31/08/2020;25;S;V5;4;L_V5_4;NA;5.6;5
31/08/2020;25;S;V5;7;L_V5_7;NA;5.5;3
31/08/2020;25;S;V5;8;L_V5_8;NA;5.8;4
31/08/2020;25;S;V5;9;L_V5_9;NA;6;5
31/08/2020;25;S;V6;2;L_V6_2;NA;5.8;4
31/08/2020;25;S;V6;3;L_V6_3;NA;5.1;2
31/08/2020;25;S;V6;4;L_V6_4;NA;5.5;3
31/08/2020;25;S;V6;7;L_V6_7;NA;5.6;3
31/08/2020;25;S;V6;8;L_V6_8;NA;5.4;3
31/08/2020;25;S;V6;9;L_V6_9;NA;5.2;3
31/08/2020;25;S;V7;2;L_V7_2;NA;5.6;4
31/08/2020;25;S;V7;3;L_V7_3;NA;5.7;2
31/08/2020;25;S;V7;4;L_V7_4;NA;5.3;3
31/08/2020;25;S;V7;7;L_V7_7;NA;5.3;3
31/08/2020;25;S;V7;8;L_V7_8;NA;5.7;3
31/08/2020;25;S;V7;9;L_V7_9;NA;5.4;2
31/08/2020;25;S;V8;2;L_V8_2;NA;6.6;5
31/08/2020;25;S;V8;3;L_V8_3;NA;6.2;5
31/08/2020;25;S;V8;4;L_V8_4;NA;6.5;6
31/08/2020;25;S;V8;7;L_V8_7;NA;6.4;5
31/08/2020;25;S;V8;8;L_V8_8;NA;6.4;6
31/08/2020;25;S;V8;9;L_V8_9;NA;6.3;5
07/09/2020;32;C;V1;2;C_V1_2;NA;9.4;22
07/09/2020;32;C;V1;3;C_V1_3;NA;9.4;26
07/09/2020;32;C;V1;4;C_V1_4;NA;8.8;19
07/09/2020;32;C;V1;7;C_V1_7;NA;9.4;21
07/09/2020;32;C;V1;8;C_V1_8;NA;9.2;20
07/09/2020;32;C;V1;9;C_V1_9;NA;9.4;26
07/09/2020;32;C;V2;2;C_V2_2;NA;8.4;26
07/09/2020;32;C;V2;3;C_V2_3;NA;8.5;26
07/09/2020;32;C;V2;4;C_V2_4;NA;8.1;25
07/09/2020;32;C;V2;7;C_V2_7;NA;8.7;21
07/09/2020;32;C;V2;8;C_V2_8;NA;8.4;25
07/09/2020;32;C;V2;9;C_V2_9;NA;8.5;26
07/09/2020;32;C;V3;2;C_V3_2;NA;9.3;27
07/09/2020;32;C;V3;3;C_V3_3;NA;9.7;32
07/09/2020;32;C;V3;4;C_V3_4;NA;9.5;27
07/09/2020;32;C;V3;7;C_V3_7;NA;10.2;38
07/09/2020;32;C;V3;8;C_V3_8;NA;9.9;26
07/09/2020;32;C;V3;9;C_V3_9;NA;9;37
07/09/2020;32;C;V4;2;C_V4_2;NA;9.5;13
07/09/2020;32;C;V4;3;C_V4_3;NA;9.6;14
07/09/2020;32;C;V4;4;C_V4_4;NA;9.2;14
07/09/2020;32;C;V4;7;C_V4_7;NA;9.6;16
07/09/2020;32;C;V4;8;C_V4_8;NA;9.3;14
07/09/2020;32;C;V4;9;C_V4_9;NA;9.6;14
07/09/2020;32;C;V5;2;C_V5_2;NA;7.8;16
07/09/2020;32;C;V5;3;C_V5_3;NA;8.1;20
07/09/2020;32;C;V5;4;C_V5_4;NA;8.3;19
07/09/2020;32;C;V5;7;C_V5_7;NA;8.1;17
07/09/2020;32;C;V5;8;C_V5_8;NA;8.1;19
07/09/2020;32;C;V5;9;C_V5_9;NA;8.2;21
07/09/2020;32;C;V6;2;C_V6_2;NA;8.7;11
07/09/2020;32;C;V6;3;C_V6_3;NA;8.4;22
07/09/2020;32;C;V6;4;C_V6_4;NA;7.9;18
07/09/2020;32;C;V6;7;C_V6_7;NA;8.6;18
07/09/2020;32;C;V6;8;C_V6_8;NA;7.7;14
07/09/2020;32;C;V6;9;C_V6_9;NA;8.1;12
07/09/2020;32;C;V7;2;C_V7_2;NA;8.4;13
07/09/2020;32;C;V7;3;C_V7_3;NA;8.5;12
07/09/2020;32;C;V7;4;C_V7_4;NA;8.3;9
07/09/2020;32;C;V7;7;C_V7_7;NA;8;9
07/09/2020;32;C;V7;8;C_V7_8;NA;8.4;14
07/09/2020;32;C;V7;9;C_V7_9;NA;7.9;10
07/09/2020;32;C;V8;2;C_V8_2;NA;8.7;21
07/09/2020;32;C;V8;3;C_V8_3;NA;8.7;26
07/09/2020;32;C;V8;4;C_V8_4;NA;8.8;23
07/09/2020;32;C;V8;7;C_V8_7;NA;8.6;25
07/09/2020;32;C;V8;8;C_V8_8;NA;8.5;20
07/09/2020;32;C;V8;9;C_V8_9;NA;8.6;24
07/09/2020;32;S-AF;V1;2;D_V1_2;NA;7.9;10
07/09/2020;32;S-AF;V1;3;D_V1_3;NA;7.3;11
07/09/2020;32;S-AF;V1;4;D_V1_4;NA;7.7;10
07/09/2020;32;S-AF;V1;7;D_V1_7;NA;7.9;8
07/09/2020;32;S-AF;V1;8;D_V1_8;NA;7.9;9
07/09/2020;32;S-AF;V1;9;D_V1_9;NA;7.9;11
07/09/2020;32;S-AF;V2;2;D_V2_2;NA;7.7;13
07/09/2020;32;S-AF;V2;3;D_V2_3;NA;7.6;15
07/09/2020;32;S-AF;V2;4;D_V2_4;NA;7.6;15
07/09/2020;32;S-AF;V2;7;D_V2_7;NA;7.6;13
07/09/2020;32;S-AF;V2;8;D_V2_8;NA;7.6;16
07/09/2020;32;S-AF;V2;9;D_V2_9;NA;7.7;14
07/09/2020;32;S-AF;V3;2;D_V3_2;NA;8.8;15
07/09/2020;32;S-AF;V3;3;D_V3_3;NA;8.6;15
07/09/2020;32;S-AF;V3;4;D_V3_4;NA;8.8;19
07/09/2020;32;S-AF;V3;7;D_V3_7;NA;8.5;18
07/09/2020;32;S-AF;V3;8;D_V3_8;NA;8.1;12
07/09/2020;32;S-AF;V3;9;D_V3_9;NA;8.7;22
07/09/2020;32;S-AF;V4;2;D_V4_2;NA;9.2;7
07/09/2020;32;S-AF;V4;3;D_V4_3;NA;9.1;7
07/09/2020;32;S-AF;V4;4;D_V4_4;NA;8.7;6
07/09/2020;32;S-AF;V4;7;D_V4_7;NA;8.7;10
07/09/2020;32;S-AF;V4;8;D_V4_8;NA;8.9;7
07/09/2020;32;S-AF;V4;9;D_V4_9;NA;8.8;7
07/09/2020;32;S-AF;V5;2;D_V5_2;NA;7.5;9
07/09/2020;32;S-AF;V5;3;D_V5_3;NA;7.3;8
07/09/2020;32;S-AF;V5;4;D_V5_4;NA;7.3;7
07/09/2020;32;S-AF;V5;7;D_V5_7;NA;7.6;9
07/09/2020;32;S-AF;V5;8;D_V5_8;NA;7.6;7
07/09/2020;32;S-AF;V5;9;D_V5_9;NA;7.3;7
07/09/2020;32;S-AF;V6;2;D_V6_2;NA;7.3;7
07/09/2020;32;S-AF;V6;3;D_V6_3;NA;7.1;8
07/09/2020;32;S-AF;V6;4;D_V6_4;NA;6.9;6
07/09/2020;32;S-AF;V6;7;D_V6_7;NA;7.3;7
07/09/2020;32;S-AF;V6;8;D_V6_8;NA;6.7;6
07/09/2020;32;S-AF;V6;9;D_V6_9;NA;6.9;4
07/09/2020;32;S-AF;V7;2;D_V7_2;NA;7.4;6
07/09/2020;32;S-AF;V7;3;D_V7_3;NA;7.7;7
07/09/2020;32;S-AF;V7;4;D_V7_4;NA;7.6;7
07/09/2020;32;S-AF;V7;7;D_V7_7;NA;7.6;6
07/09/2020;32;S-AF;V7;8;D_V7_8;NA;7.3;6
07/09/2020;32;S-AF;V7;9;D_V7_9;NA;7.7;7
07/09/2020;32;S-AF;V8;2;D_V8_2;NA;8.1;11
07/09/2020;32;S-AF;V8;3;D_V8_3;NA;8.3;14
07/09/2020;32;S-AF;V8;4;D_V8_4;NA;8.3;13
07/09/2020;32;S-AF;V8;7;D_V8_7;NA;8.5;14
07/09/2020;32;S-AF;V8;8;D_V8_8;NA;8.3;15
07/09/2020;32;S-AF;V8;9;D_V8_9;NA;8.2;11
07/09/2020;32;S;V2;2;L_V2_2;NA;7.6;15
07/09/2020;32;S;V2;3;L_V2_3;NA;7.6;11
07/09/2020;32;S;V2;4;L_V2_4;NA;7.4;9
07/09/2020;32;S;V2;7;L_V2_7;NA;7.4;10
07/09/2020;32;S;V2;8;L_V2_8;NA;7.5;11
07/09/2020;32;S;V2;9;L_V2_9;NA;7.5;8
07/09/2020;32;S;V5;2;L_V5_2;NA;7.2;7
07/09/2020;32;S;V5;3;L_V5_3;NA;7.4;7
07/09/2020;32;S;V5;4;L_V5_4;NA;7.3;8
07/09/2020;32;S;V5;7;L_V5_7;NA;7.1;7
07/09/2020;32;S;V5;8;L_V5_8;NA;7.3;7
07/09/2020;32;S;V5;9;L_V5_9;NA;7.5;7
07/09/2020;32;S;V8;2;L_V8_2;NA;8;10
07/09/2020;32;S;V8;3;L_V8_3;NA;7.7;8
07/09/2020;32;S;V8;4;L_V8_4;NA;8.1;11
07/09/2020;32;S;V8;7;L_V8_7;NA;8;11
07/09/2020;32;S;V8;8;L_V8_8;NA;7.8;9
07/09/2020;32;S;V8;9;L_V8_9;NA;7.7;8
08/09/2020;33;S;V1;2;L_V1_2;NA;7.8;7
